character,ep_title,text
ONE,The Cage,"Quarters are being prepared, sir."
ONE,The Cage,Have I permission to send out scouting and scientific parties now?
ONE,The Cage,"I didn't get that last message, Captain."
ONE,The Cage,"Landing party, come in."
ONE,The Cage,"So we just thought we saw survivors there, Mister Spock."
ONE,The Cage,Any estimate what they might want one of us for?
ONE,The Cage,Engineering deck will rig to transmit ship's power.
ONE,The Cage,We'll try blasting through that metal.
ONE,The Cage,"All circuits engaged, Mister Spock."
ONE,The Cage,Take cover.
ONE,The Cage,Increase to full power!
ONE,The Cage,Can you give us any more?
ONE,The Cage,Disengage.
ONE,The Cage,The top of that knoll should have been sheared off the first second.
ONE,The Cage,"Now, you all know the situation."
ONE,The Cage,We're hoping to transport down inside the Talosian community.
ONE,The Cage,Nothing will be said if any volunteer wants to back out.
ONE,The Cage,Captain!
ONE,The Cage,Captain.
ONE,The Cage,But we were a party of six.
ONE,The Cage,They were fully charged when we left.
ONE,The Cage,It's dead.
ONE,The Cage,(communicator) I can't make a signal.
ONE,The Cage,What is it?
ONE,The Cage,Offspring as in he's Adam.
ONE,The Cage,Is that it?
ONE,The Cage,"Well, shall we do a little time computation?"
ONE,The Cage,There was a Vina listed on that expedition as an adult crewman.
ONE,The Cage,"Now, adding eighteen years to your age then."
ONE,The Cage,Captain.
ONE,The Cage,"They kept us from seeing this, too."
ONE,The Cage,We cut through and never knew it.
ONE,The Cage,Captain.
ONE,The Cage,It's wrong to create a whole race of humans to live as slaves.
ONE,The Cage,"Captain, we have transporter control now."
ONE,The Cage,Isn't she coming with us?
ONE,The Cage,Yeoman!
ONE,The Cage,You've delivered your report.
ONE,The Cage,"All decks show ready, sir."
PIKE,The Cage,Steady as we go.
PIKE,The Cage,They were keyed to cause interference and attract attention this way.
PIKE,The Cage,If they survived the crash.
PIKE,The Cage,"Not without any indication of survivors, no."
PIKE,The Cage,Continue to the Vega Colony and take care of our own sick and injured first.
PIKE,The Cage,You have the helm.
PIKE,The Cage,Maintain present course.
PIKE,The Cage,"Drop by my cabin, Doctor."
PIKE,The Cage,(Boyce enters with bag) What's that?
PIKE,The Cage,I didn't say there's anything wrong with me.
PIKE,The Cage,That's right.
PIKE,The Cage,"Unless we get anything more positive on it, it seems to me the condition of our own crew takes precedent."
PIKE,The Cage,"I'd like to log the ship's doctor's opinion, too."
PIKE,The Cage,Good.
PIKE,The Cage,"I'm glad you do, because we're going to stop first at the Vega Colony and replace anybody who needs hospitalisation and also."
PIKE,The Cage,"What the devil are you putting in there, ice?"
PIKE,The Cage,What makes you think I need one?
PIKE,The Cage,Shouldn't it be?
PIKE,The Cage,"My only yeoman and two others dead, seven injured."
PIKE,The Cage,"Oh, I should have smelled trouble when I saw the swords and the armour."
PIKE,The Cage,"Instead of that, I let myself get trapped in that deserted fortress and attacked by one of their warriors."
PIKE,The Cage,You bet I'm tired.
PIKE,The Cage,You bet.
PIKE,The Cage,I'm tired of being responsible for two hundred and three lives.
PIKE,The Cage,"I'm tired of deciding which mission is too risky and which isn't, and who's going on the landing party and who doesn't, and who lives and who dies."
PIKE,The Cage,"Boy, I've had it, Phil."
PIKE,The Cage,To the point of considering resigning.
PIKE,The Cage,"Well, for one thing, go home."
PIKE,The Cage,Nice little town with fifty miles of parkland around it.
PIKE,The Cage,"Remember I told you I had two horses, and we used to take some food and ride out all day."
PIKE,The Cage,I said that's one place I might go.
PIKE,The Cage,I might go into business on Regulus or on the Orion colony.
PIKE,The Cage,The point is this isn't the only life available.
PIKE,The Cage,There's a whole galaxy of things to choose from.
PIKE,The Cage,"Now you're beginning to talk like a doctor, bartender."
PIKE,The Cage,Address intercraft.
PIKE,The Cage,This is the captain.
PIKE,The Cage,Our destination is the Talos star group.
PIKE,The Cage,"Our time warp, factor seven."
PIKE,The Cage,Yeoman.
PIKE,The Cage,I thought I told you that when I'm on the bridge
PIKE,The Cage,"Oh, I see."
PIKE,The Cage,Thank you.
PIKE,The Cage,"She does a good job, all right."
PIKE,The Cage,It's just that I can't get used to having a woman on the bridge.
PIKE,The Cage,"No offence, Lieutenant."
PIKE,The Cage,"You're different, of course."
PIKE,The Cage,Spectography?
PIKE,The Cage,Gravity?
PIKE,The Cage,Prep a landing party of six.
PIKE,The Cage,You feel up to it?
PIKE,The Cage,"Sorry, Number One."
PIKE,The Cage,"With little information on this planet, we'll have to leave the ship's most experienced officer here covering us."
PIKE,The Cage,"There's no indication of problems down there, but let's not take chances."
PIKE,The Cage,"Captain Christopher Pike, United Space Ship Enterprise."
PIKE,The Cage,"The same old Earth, and you'll see it very soon."
PIKE,The Cage,(as the survivors pack up the settlement) Enterprise.
PIKE,The Cage,We'll begin transporting the survivors and their effects up to you very shortly.
PIKE,The Cage,That's affirmative on the
PIKE,The Cage,"Er, affirmative on request."
PIKE,The Cage,Landing party out.
PIKE,The Cage,I don't understand.
PIKE,The Cage,Can you hear me?
PIKE,The Cage,"My name is Christopher Pike, commander of the space vehicle Enterprise from a stellar group at the other end of this galaxy."
PIKE,The Cage,Our intentions are peaceful.
PIKE,The Cage,Can you understand me?
PIKE,The Cage,"You're not speaking, yet I can hear you."
PIKE,The Cage,"All right then, telepathy."
PIKE,The Cage,You can read my mind.
PIKE,The Cage,I can read yours.
PIKE,The Cage,"Now, unless you want my ship to consider capturing me an unfriendly act"
PIKE,The Cage,"If you were in here, wouldn't you test the strength of these walls, too?"
PIKE,The Cage,"There's a way out of any cage, and I'll find it."
PIKE,The Cage,This is Rigel Seven.
PIKE,The Cage,"I was in a cage, a cell, in some kind of a zoo."
PIKE,The Cage,I must still be there.
PIKE,The Cage,They've reached into my mind and taken the memory of somewhere I've been.
PIKE,The Cage,It's starting just as it happened two weeks ago.
PIKE,The Cage,Except for you.
PIKE,The Cage,"Longer hair, different dress, but it is you, the one the survivors called Vina."
PIKE,The Cage,Or rather the image of Vina.
PIKE,The Cage,But why you again?
PIKE,The Cage,Why didn't they create a different girl?
PIKE,The Cage,But it's only a dream.
PIKE,The Cage,You can tell my jailers I won't go along with it.
PIKE,The Cage,I'm not an animal performing for its supper.
PIKE,The Cage,Why would an illusion be frightened?
PIKE,The Cage,Who are you?
PIKE,The Cage,You act as if this were really you.
PIKE,The Cage,Why are you here?
PIKE,The Cage,Are you real?
PIKE,The Cage,"No, no."
PIKE,The Cage,"No, that's not an answer."
PIKE,The Cage,"I've never met you before, never even imagined you."
PIKE,The Cage,"What, and dress you in the same metal fabric they wear?"
PIKE,The Cage,So they can see how their specimen performs?
PIKE,The Cage,"They want to see how I react, is that it?"
PIKE,The Cage,Or do they do more than just watch me?
PIKE,The Cage,"Do they feel with me, too?"
PIKE,The Cage,Yes.
PIKE,The Cage,"Yes, you can please me."
PIKE,The Cage,You can tell me about them.
PIKE,The Cage,"Is there any way I can keep them from probing my mind, from using my thoughts against me?"
PIKE,The Cage,Does that frighten you?
PIKE,The Cage,Does that mean there is a way?
PIKE,The Cage,"Since you're not real, there's not much point in continuing this conversation, is there."
PIKE,The Cage,How far can they control my mind?
PIKE,The Cage,Perhaps.
PIKE,The Cage,But they try to trick me with their illusions.
PIKE,The Cage,Did they ever live on the surface of this planet?
PIKE,The Cage,Why did they go underground?
PIKE,The Cage,That's why it's so barren up there?
PIKE,The Cage,So the Talosians who came underground found life limited here and they concentrated on developing their mental power.
PIKE,The Cage,Or sit probing minds of zoo specimens like me.
PIKE,The Cage,Which means they had to have more than one of each animal.
PIKE,The Cage,They'll need a pair of humans too.
PIKE,The Cage,Where do they get intend to get the Earth woman?
PIKE,The Cage,But that was a bargain with something that didn't exist.
PIKE,The Cage,"You said you weren't real, remember?"
PIKE,The Cage,Is the keeper actually communicating with one of his animals?
PIKE,The Cage,And if I prefer
PIKE,The Cage,Why not just put irresistible hunger in my mind?
PIKE,The Cage,"Because you can't, can you?"
PIKE,The Cage,"You do have limitations, don't you?"
PIKE,The Cage,That's very interesting.
PIKE,The Cage,You were startled.
PIKE,The Cage,Weren't you reading my mind then?
PIKE,The Cage,"No, let's stay on the first subject."
PIKE,The Cage,All I wanted for that moment was to get my hands around your neck.
PIKE,The Cage,Do primitive thoughts put up a block you can't read through?
PIKE,The Cage,"All right, all right, let's talk about the girl."
PIKE,The Cage,"You seem to be going out of your way to make her attractive, to make me feel protective."
PIKE,The Cage,It seems more important to you now that I begin to accept her and like her.
PIKE,The Cage,"Assuming that's a lie, why would you want me attracted to her?"
PIKE,The Cage,So I'll feel love in a husband-wife relationship?
PIKE,The Cage,That would be necessary only if you intend to build a family group or perhaps a whole human community.
PIKE,The Cage,You mean properly punished!
PIKE,The Cage,I'm the one who's not co-operating!
PIKE,The Cage,Why don't you punish me?
PIKE,The Cage,Tango!
PIKE,The Cage,"You old devil, you."
PIKE,The Cage,I'm sorry I don't have any sugar.
PIKE,The Cage,"Well, they think of everything, don't they?"
PIKE,The Cage,(feeds lumps to the horse)
PIKE,The Cage,They read our minds very well.
PIKE,The Cage,"Home, anything else I want, if I co-operate, is that it?"
PIKE,The Cage,"Look, I'm sorry they punish you, but we can't let them"
PIKE,The Cage,It's funny.
PIKE,The Cage,It's about twenty four hours ago I was telling the ship's doctor how much I wanted something else not very different from what we have here.
PIKE,The Cage,An escape from reality.
PIKE,The Cage,Life with no frustrations.
PIKE,The Cage,No responsibilities.
PIKE,The Cage,"Now that I have it, I understand the doctor's answer."
PIKE,The Cage,"You either live life, bruises, skinned knees and all, or you turn your back on it and start dying."
PIKE,The Cage,"The doctor's going to be happy about one part, at least."
PIKE,The Cage,He said I needed a rest.
PIKE,The Cage,I used to ride through here when I was a kid.
PIKE,The Cage,"It's not as pretty as some of the parkland around the big cities, but."
PIKE,The Cage,That's Mojave.
PIKE,The Cage,That's where I was born.
PIKE,The Cage,"These headaches, they'll be hereditary you know."
PIKE,The Cage,Would you wish them on a child or a whole group of children?
PIKE,The Cage,Is it?
PIKE,The Cage,"Look, first they made me protect you and then feel sympathy for you."
PIKE,The Cage,Now we have these familiar surroundings and a comfortable husband-wife relationship.
PIKE,The Cage,They don't need all this for just passion.
PIKE,The Cage,What they're after is respect and mutual dependence.
PIKE,The Cage,"But we're not here, neither of us."
PIKE,The Cage,"We're in a menagerie, a cage!"
PIKE,The Cage,"Back in my cage, it seemed for a couple of minutes that our keeper couldn't read my thoughts."
PIKE,The Cage,"Do emotions like hate, keeping hate in your mind, does that block off our mind from them?"
PIKE,The Cage,"Oh, no."
PIKE,The Cage,I don't hate you.
PIKE,The Cage,I can guess what it was like.
PIKE,The Cage,"If they can read my mind, then they know I'm attracted to you."
PIKE,The Cage,I was from the very first moment I saw you in the survivor's camp.
PIKE,The Cage,Vina?
PIKE,The Cage,ORION: Glistening green.
PIKE,The Cage,Almost like secret dreams a bored ship captain might have.
PIKE,The Cage,(grabbing Colt's laser pistol) They don't work.
PIKE,The Cage,Don't say anything.
PIKE,The Cage,"I'm filling my mind with a picture of beating their huge, misshapen heads to pulp, thoughts so primitive they black out everything else."
PIKE,The Cage,I'm filling my mind with hate.
PIKE,The Cage,I'll break out of this zoo somehow and get to you.
PIKE,The Cage,Is your blood red like ours?
PIKE,The Cage,I'm going to find out.
PIKE,The Cage,All I want to do is get my hands on you.
PIKE,The Cage,Can you read these thoughts?
PIKE,The Cage,"Images of hate, killing?"
PIKE,The Cage,You'll find my thoughts more interesting.
PIKE,The Cage,Thoughts so primitive you can't understand.
PIKE,The Cage,Emotions so ugly (stricken by pain)
PIKE,The Cage,No.
PIKE,The Cage,"No, don't help me."
PIKE,The Cage,I have to concentrate.
PIKE,The Cage,They can't read through hate.
PIKE,The Cage,"Now you hold still, or I'll break your neck."
PIKE,The Cage,I've had some samples of how good they are.
PIKE,The Cage,"You stop this illusion, or I'll twist your head off."
PIKE,The Cage,"(it stops) All right, now you try one more illusion, you try anything at all, and I'll break your neck."
PIKE,The Cage,I'm going to gamble you're too intelligent to kill for no reason at all.
PIKE,The Cage,"On the other hand, I've got a reason."
PIKE,The Cage,I'm willing to bet you've created an illusion this laser is empty.
PIKE,The Cage,I think it just blasted a hole in that window and you're keep us from seeing it.
PIKE,The Cage,You want me to test my theory out on your head?
PIKE,The Cage,"Make contact, Number One."
PIKE,The Cage,I want to contact our ship.
PIKE,The Cage,And start by burying you?
PIKE,The Cage,"Look, I'll make a deal with you."
PIKE,The Cage,You and your life for the lives of these two Earth women.
PIKE,The Cage,Do you understand what I'm saying?
PIKE,The Cage,"You give me proof that our ship is all right, send these two back, and I'll stay with Vina."
PIKE,The Cage,The weapon is building up an overload.
PIKE,The Cage,A force chamber explosion.
PIKE,The Cage,You still have time to get underground.
PIKE,The Cage,"Well, go on!"
PIKE,The Cage,"(pushes Vina away) Just to show you how primitive humans are, Talosian, you go with her."
PIKE,The Cage,Wait.
PIKE,The Cage,And that's it?
PIKE,The Cage,No apologies?
PIKE,The Cage,"You captured one of us, threatened all of us."
PIKE,The Cage,"But wouldn't some form of trade, mutual co-operation?"
PIKE,The Cage,Let's get back to the ship.
PIKE,The Cage,You'll give her back her illusion of beauty?
PIKE,The Cage,No.
PIKE,The Cage,"No, and I agreed with her reasons."
PIKE,The Cage,"Oh, I feel fine, just fine."
PIKE,The Cage,"You recommended a rest, a change of pace, didn't you?"
PIKE,The Cage,I've even been home.
PIKE,The Cage,Does that make you happy?
PIKE,The Cage,Yeoman.
PIKE,The Cage,I thought I told you that when I'm on the bridge I
PIKE,The Cage,Oh.
PIKE,The Cage,Oh yes.
PIKE,The Cage,The reports.
PIKE,The Cage,Thank you.
PIKE,The Cage,As in all ship's doctors are dirty old men.
PIKE,The Cage,"What are we running here, a cadet ship, Number One?"
PIKE,The Cage,Are we ready or not?
PIKE,The Cage,Engage.
GARISON,The Cage,"It's a radio wave, sir."
GARISON,The Cage,We're passing through an old-style distress signal.
GARISON,The Cage,"A ship in trouble making a forced landing, sir."
GARISON,The Cage,That's it.
GARISON,The Cage,No other message.
GARISON,The Cage,(reads) Eleven survivors from crash.
GARISON,The Cage,Gravity and oxygen within limits.
GARISON,The Cage,"Food and water obtainable, but unless."
GARISON,The Cage,"The message faded at that point, sir."
GARISON,The Cage,Sir.
GARISON,The Cage,Could that be an illusion too?
GARISON,The Cage,"Open, sir."
GARISON,The Cage,Open.
GARISON,The Cage,The captain?
BOYCE,The Cage,I understand we picked up a distress signal.
BOYCE,The Cage,"Oh, I concur with yours, definitely."
BOYCE,The Cage,Who wants a warm martini?
BOYCE,The Cage,Sometimes a man'll tell his bartender things he'll never tell his doctor.
BOYCE,The Cage,"What's been on your mind, Chris, the fight on Rigel Seven?"
BOYCE,The Cage,Was there anything you personally could have done to prevent it?
BOYCE,The Cage,"Chris, you set standards for yourself no one could meet."
BOYCE,The Cage,"You treat everyone on board like a human being except yourself, and now you're tired and you"
BOYCE,The Cage,"To the point of finally taking my advice, a rest leave?"
BOYCE,The Cage,And do what?
BOYCE,The Cage,"Ah, that sounds exciting."
BOYCE,The Cage,Ride out with a picnic lunch every day.
BOYCE,The Cage,"You, an Orion trader, dealing in green animal women, slaves?"
BOYCE,The Cage,Not for you.
BOYCE,The Cage,"A man either lives life as it happens to him, meets it head-on, and licks it, or he turns his back on it and starts to wither away."
BOYCE,The Cage,Take your choice.
BOYCE,The Cage,We both get the same two kinds of customers.
BOYCE,The Cage,The living and the dying.
BOYCE,The Cage,"If they can spare you a moment, I'd like to make my medical report."
BOYCE,The Cage,Their health is excellent.
BOYCE,The Cage,Almost too good.
BOYCE,The Cage,It was a perfect illusion.
BOYCE,The Cage,"They had us seeing just what we wanted to see, human beings who'd survived with dignity and bravery, everything entirely logical, right down to the building of the camp, the tattered clothing, everything."
BOYCE,The Cage,Now let's be sure we understand the danger of this.
BOYCE,The Cage,The inhabitants of this planet can read our minds.
BOYCE,The Cage,"They can create illusions out of a person's own thoughts, memories, and experiences, even out of a person's own desires."
BOYCE,The Cage,Illusions just as real and solid as this table top and just as impossible to ignore.
BOYCE,The Cage,Maybe it was.
BOYCE,The Cage,It's what I tried to explain in the briefing room.
BOYCE,The Cage,"Their power of illusion is so great, we can't be sure of anything we do, anything we see."
BOYCE,The Cage,Hold on a minute.
BOYCE,The Cage,You look a hundred percent better.
BOYCE,The Cage,Eve as in Adam?
COLT,The Cage,"Yes, sir."
COLT,The Cage,But you wanted the reports by oh five hundred.
COLT,The Cage,"It's oh five hundred now, sir."
COLT,The Cage,We were the only ones transported.
COLT,The Cage,Leave him alone.
COLT,The Cage,Picked her?
COLT,The Cage,For what?
COLT,The Cage,I don't understand.
COLT,The Cage,"Offspring, as in children?"
COLT,The Cage,Captain.
COLT,The Cage,What's happened to Vina?
COLT,The Cage,"Yes, sir."
COLT,The Cage,"Sir, I was wondering."
COLT,The Cage,Just curious.
COLT,The Cage,Who would have been Eve?
COLT,The Cage,"Yes, ma'am."
COLT,The Cage,"Yes, sir."
GEOLOGIST,The Cage,"Geological lab report complete, Captain."
GEOLOGIST,The Cage,"Our reading shows an oxygen nitrogen atmosphere, sir, heavy with inert elements but well within safety limits."
GEOLOGIST,The Cage,Zero point nine of Earth.
PITCAIRN,The Cage,"Yes, sir."
PITCAIRN,The Cage,There's a canyon to the left.
PITCAIRN,The Cage,We can set you there completely unobserved.
PITCAIRN,The Cage,"All systems are out, bridge."
PITCAIRN,The Cage,We've got nothing.
PITCAIRN,The Cage,"Sir, it just came on."
PITCAIRN,The Cage,We can't shut the power off.
PITCAIRN,The Cage,"Mister Spock, the system is coming on again."
OLD MAN,The Cage,They're men.
OLD MAN,The Cage,They're humans.
HASKINS,The Cage,"Doctor Theodore Haskins, American Continent lnstitute."
HASKINS,The Cage,This is Vina.
HASKINS,The Cage,Her parents are dead.
HASKINS,The Cage,She was born almost as we crashed.
HASKINS,The Cage,"You must forgive her choice of words, Captain."
HASKINS,The Cage,She's lived her whole life with a collection of aging scientists.
HASKINS,The Cage,"There's a reason for our condition, but we've had some doubt if Earth is ready to learn the secret."
HASKINS,The Cage,Let the girl show you.
HASKINS,The Cage,We'll accept your judgment.
SURVIVOR,The Cage,Is Earth all right?
VINA,The Cage,"You appear to be healthy and intelligent, Captain."
VINA,The Cage,A prime specimen.
VINA,The Cage,I think it's time to show the Captain our secret.
VINA,The Cage,"You're tired, but don't worry."
VINA,The Cage,You'll feel much better soon.
VINA,The Cage,Don't you see it?
VINA,The Cage,Here and here.
VINA,The Cage,You will.
VINA,The Cage,You're a perfect choice.
VINA,The Cage,"Come on, we must hide ourselves."
VINA,The Cage,"Come, come."
VINA,The Cage,Hurry.
VINA,The Cage,It's deserted.
VINA,The Cage,There'll be weapons and perhaps food.
VINA,The Cage,"Please, we must hide ourselves."
VINA,The Cage,Come on.
VINA,The Cage,The killer!
VINA,The Cage,Quick.
VINA,The Cage,If you attack while it's not looking.
VINA,The Cage,You have to kill him as you did here before.
VINA,The Cage,"It doesn't matter what you call this, you'll feel it."
VINA,The Cage,That's what matters.
VINA,The Cage,You'll feel every moment of whatever happens to you.
VINA,The Cage,"Please, don't you know what he'll do to us?"
VINA,The Cage,Because that's the way you imagined me.
VINA,The Cage,Careful.
VINA,The Cage,It's over.
VINA,The Cage,To please you.
VINA,The Cage,As real as you wish.
VINA,The Cage,Perhaps they made me out of dreams you've forgotten.
VINA,The Cage,"I have to wear something, don't I?"
VINA,The Cage,"I can wear whatever you wish, be anything you wish."
VINA,The Cage,"Don't you have a dream, something you've always wanted very badly?"
VINA,The Cage,You can have whatever dream you want.
VINA,The Cage,"I can become anything, any woman you've ever imagined."
VINA,The Cage,You can have anything you want in the whole universe.
VINA,The Cage,Let me please you.
VINA,The Cage,You're a fool.
VINA,The Cage,"Perhaps if you asked me some questions, I could answer."
VINA,The Cage,"If I tell you, then will you pick some dream you've had and let me live it with you?"
VINA,The Cage,They can't actually make you do anything you don't want to do.
VINA,The Cage,"And, they can punish you when you're not co-operative."
VINA,The Cage,You'll find out about that.
VINA,The Cage,"War, thousands of centuries ago."
VINA,The Cage,But they found it's a trap.
VINA,The Cage,Like a narcotic.
VINA,The Cage,"Because when dreams become more important than reality, you give up travel, building, creating."
VINA,The Cage,You even forget how to repair the machines left behind by your ancestors.
VINA,The Cage,"You just sit, living and reliving other lives left behind in the thought record."
VINA,The Cage,You're better than a theatre to them.
VINA,The Cage,"They create the illusion for you, they watch you react, feel your emotions."
VINA,The Cage,"They have a whole collection of specimens, descendants of life brought back long ago from all over this part of the galaxy."
VINA,The Cage,Please.
VINA,The Cage,You said that if I answered questions
VINA,The Cage,I'm a woman as real and as human as you are.
VINA,The Cage,We're like Adam and Eve.
VINA,The Cage,If we.
VINA,The Cage,Don't.
VINA,The Cage,Please don't punish me!
VINA,The Cage,(disappears)
VINA,The Cage,"You want some coffee, dear?"
VINA,The Cage,I left the thermos hooked to my saddle.
VINA,The Cage,"Hey, your coffee."
VINA,The Cage,Is it good to be home?
VINA,The Cage,"Have you forgotten my headaches, darling?"
VINA,The Cage,I get them when you talk strangely like this.
VINA,The Cage,"My, it turned out to be a lovely day, didn't it?"
VINA,The Cage,I hope you're hungry.
VINA,The Cage,These little white sandwiches are your mother's recipe for chicken tuna.
VINA,The Cage,This is a lovely place to rest.
VINA,The Cage,Is that supposed to be news to your wife?
VINA,The Cage,You're home.
VINA,The Cage,You can even stay if you want.
VINA,The Cage,Wouldn't it be nice showing your children where you once played?
VINA,The Cage,Foolish.
VINA,The Cage,They say in the olden days all this was a desert.
VINA,The Cage,Blowing sand and cactus.
VINA,The Cage,No.
VINA,The Cage,Stop it.
VINA,The Cage,Don't you care what they'll do to us?
VINA,The Cage,Yes.
VINA,The Cage,They can't read through primitive emotions.
VINA,The Cage,But you can't keep it up for long enough.
VINA,The Cage,I've tried.
VINA,The Cage,"They keep at you and at you year after year, tricking and punishing, and they won."
VINA,The Cage,They own me.
VINA,The Cage,I know you must hate me for that.
VINA,The Cage,But that's not enough.
VINA,The Cage,Don't you see?
VINA,The Cage,"They read my thoughts, my feelings, my dreams of what would be a perfect man."
VINA,The Cage,That's why they picked you.
VINA,The Cage,I can't help but love you and they expect you to feel the same way.
VINA,The Cage,I'm beginning to see why none of this has worked for you.
VINA,The Cage,"You've been home, and fighting as on Rigel."
VINA,The Cage,"That's not new to you, either."
VINA,The Cage,A person's strongest dreams are about what he can't do.
VINA,The Cage,"Yes, a ship's captain, always having to be so formal, so decent and honest and proper."
VINA,The Cage,You must wonder what it would be like to forget all that.
VINA,The Cage,No!
VINA,The Cage,Let me finish!
VINA,The Cage,It's not fair.
VINA,The Cage,You don't need them.
VINA,The Cage,How long can you block your thoughts?
VINA,The Cage,"A few minutes, an hour?"
VINA,The Cage,How can that help?
VINA,The Cage,He doesn't need you.
VINA,The Cage,He's already picked me.
VINA,The Cage,"Now, there's a fine choice for intelligent offspring."
VINA,The Cage,You're no better choice.
VINA,The Cage,They'd have more luck crossing him with a computer.
VINA,The Cage,It's not fair.
VINA,The Cage,I did what you asked.
VINA,The Cage,Don't hurt them.
VINA,The Cage,They don't mean to be evil.
VINA,The Cage,"He's not bluffing, Captain."
